"parameter","time","value","statistic","method"
"R",5,5.04528550035373,"seMSE","LW99"
"p: S->I",5,0.00115006957888327,"seMSE","LW99"
"p: I->R",5,0.00100008343922845,"seMSE","LW99"
"r: S->I",5,0.0075696401925592,"seMSE","LW99"
"r: I->R",5,0.00789720182747146,"seMSE","LW99"
"S",6,16.9293380963922,"seMSE","LW99"
"I",6,17.8615727689669,"seMSE","LW99"
"R",6,7.90892160295865,"seMSE","LW99"
"p: S->I",6,0.00131468536980937,"seMSE","LW99"
"p: I->R",6,0.00130997428884954,"seMSE","LW99"
"r: S->I",6,0.00675635438434634,"seMSE","LW99"
"r: I->R",6,0.00799303084996891,"seMSE","LW99"
"S",7,26.0408622636491,"seMSE","LW99"
"I",7,26.1697438777371,"seMSE","LW99"
"R",7,10.8484285244661,"seMSE","LW99"
"p: S->I",7,0.00147445915099686,"seMSE","LW99"
"p: I->R",7,0.00121771713018761,"seMSE","LW99"
"r: S->I",7,0.00692620575789144,"seMSE","LW99"
"r: I->R",7,0.00758637044675114,"seMSE","LW99"
"S",8,36.6626940832367,"seMSE","LW99"
"I",8,31.8456217753799,"seMSE","LW99"
"R",8,12.3918235975074,"seMSE","LW99"
"p: S->I",8,0.00142560286371535,"seMSE","LW99"
"p: I->R",8,0.00112585919131267,"seMSE","LW99"
"r: S->I",8,0.00646048145955755,"seMSE","LW99"
"r: I->R",8,0.00772065511456045,"seMSE","LW99"
"S",9,65.1506093454015,"seMSE","LW99"
"I",9,60.775669012394,"seMSE","LW99"
"R",9,18.8690823829118,"seMSE","LW99"
"p: S->I",9,0.00140383260851569,"seMSE","LW99"
"p: I->R",9,0.0012160945667005,"seMSE","LW99"
"r: S->I",9,0.00731224799546477,"seMSE","LW99"
"r: I->R",9,0.00776668534366344,"seMSE","LW99"
"S",10,92.3919440093114,"seMSE","LW99"
"I",10,84.3830333435446,"seMSE","LW99"
"R",10,30.0357408953922,"seMSE","LW99"
"p: S->I",10,0.00137587537006116,"seMSE","LW99"
"p: I->R",10,0.00118104287742908,"seMSE","LW99"
"r: S->I",10,0.00769486068727413,"seMSE","LW99"
"r: I->R",10,0.00746778468440325,"seMSE","LW99"
"S",11,110.826351346222,"seMSE","LW99"
"I",11,104.318843980708,"seMSE","LW99"
"R",11,41.0403366257902,"seMSE","LW99"
"p: S->I",11,0.00126968971887146,"seMSE","LW99"
"p: I->R",11,0.00152069854286727,"seMSE","LW99"
"r: S->I",11,0.00842549515344785,"seMSE","LW99"
"r: I->R",11,0.00827897723474651,"seMSE","LW99"
"S",12,94.7922054887101,"seMSE","LW99"
"I",12,72.5780735545526,"seMSE","LW99"
"R",12,44.0454328424421,"seMSE","LW99"
"p: S->I",12,0.00127251840639579,"seMSE","LW99"
